2025-03-07 10:15:52,090 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/head.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,091 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/head_en_IN.ftl"): Not found
2025-03-07 10:15:52,091 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/head_en.ftl"): Not found
2025-03-07 10:15:52,092 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/head.ftl"): Found
2025-03-07 10:15:52,092 [DEBUG] freemarker.cache  - Loading template for "spark/partials/head.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/head.ftl"
2025-03-07 10:15:52,096 [DEBUG] freemarker.cache  - Couldn't find template in cache for "commons/commons-inject-css.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,097 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("commons/commons-inject-css_en_IN.ftl"): Not found
2025-03-07 10:15:52,098 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("commons/commons-inject-css_en.ftl"): Not found
2025-03-07 10:15:52,098 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("commons/commons-inject-css.ftl"): Found
2025-03-07 10:15:52,098 [DEBUG] freemarker.cache  - Loading template for "commons/commons-inject-css.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/commons/commons-inject-css.ftl"
2025-03-07 10:15:52,100 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/navbar.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,100 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/navbar_en_IN.ftl"): Not found
2025-03-07 10:15:52,101 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/navbar_en.ftl"): Not found
2025-03-07 10:15:52,101 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/navbar.ftl"): Found
2025-03-07 10:15:52,101 [DEBUG] freemarker.cache  - Loading template for "spark/partials/navbar.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/navbar.ftl"
2025-03-07 10:15:52,108 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/sidenav.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,108 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/sidenav_en_IN.ftl"): Not found
2025-03-07 10:15:52,109 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/sidenav_en.ftl"): Not found
2025-03-07 10:15:52,109 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/sidenav.ftl"): Found
2025-03-07 10:15:52,109 [DEBUG] freemarker.cache  - Loading template for "spark/partials/sidenav.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/sidenav.ftl"
2025-03-07 10:15:52,125 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/test.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,126 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/test_en_IN.ftl"): Not found
2025-03-07 10:15:52,126 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/test_en.ftl"): Not found
2025-03-07 10:15:52,127 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/test.ftl"): Found
2025-03-07 10:15:52,127 [DEBUG] freemarker.cache  - Loading template for "spark/partials/test.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/test.ftl"
